72,174
40,193
76,60
44,31
63,53
102,38
50,138
199,126
120,32
65,28
196,42
120,44
58,60
151,157
121,159
36,19
181,52
46,102
6,39
172,179
165,130
78,118
26,163
38,168
166,61
28,163
152,78
172,152
138,109
84,69
4,85
155,6
139,64
101,65
4,8
136,13
190,117
78,75
92,90
0,104
155,156
161,14
70,140
194,57
102,61
168,89
126,142
180,14
65,189
184,82
15,157
60,86
7,158
63,107
77,60
54,159
106,176
180,85
121,153
6,98
160,163
69,25
119,89
115,180
96,159
121,198
83,192
110,150
128,154
181,152
133,50
171,49
128,85
200,165
196,198
22,0
63,197
134,186
106,14
181,174
180,88
166,10
104,88
173,112
119,78
53,49
12,9
133,69
2,3
46,158
183,160
34,8
176,61
1,95
172,62
66,118
33,177
23,3
63,88
70,125
